id,county,region,site_name,fieldwork_type,organisation,x_ref_map,y_ref_map,MajorSite,MinorSite,NonDomesticStructure,HEREvent,HERID,HERMonument,HERSource,SiteCode,OASIS
"90106","Cambridgeshire","Central Belt","Water Newton, A1 cemetery","Excavation","Cambridgeshire County Council Archaeological Field Unit","512210","296550","Religious ritual and funerary|Nucleated settlement","defended small town|funerary site","","","","","","",""
"90114","Cambridgeshire","Central Belt","Godmanchester, Walker's cremation cemetery","Excavation","F.G. Walker","524346","270999","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90120","Essex","South","Chelmsford, NE","Excavation","Chelmsford Excavation Committee, Essex County Council Field Archaeology Unit","571045","206326","Nucleated settlement|Religious ritual and funerary","defended small town|RC temple|shrine","","","","","","",""
"90123","Northamptonshire","Central Belt","Irchester, Chester Farm","Excavation","Northamptonshire Archaeology","491900","266800","Nucleated settlement|Religious ritual and funerary","defended small town|RC temple","","","","","","",""
"90125","Northamptonshire","Central Belt","Irchester, E cemetery and hoard","Excavation","D. Kennet/ Baker","492135","267210","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90129","Rutland","Central Belt","Great Casterton, County Primary School","Evaluation","Hertfordshire Archaeological Trust","500000","309300","Nucleated settlement|Religious ritual and funerary","defended small town|funerary site","","","","","","",""
"90211","Cumbria","Northern England","Carlisle, Between Mary Street and Tait Street, Botchergate","Excavation","Carlisle Archaeology Ltd","340387","555561","Nucleated settlement|Industry|Religious ritual and funerary","defended small town|vicus|funerary site","well|workshop","","","","","",""
"45019","Clwyd-Powys","Upland Wales and the Marches","Caersws Vicus 84-93","Excavation","Clwyd-Powys Archaeological Trust","303150","291961","Nucleated settlement|Military|Religious ritual and funerary","vicus|fort|RC temple","well","","","CPAT5869","","",""
"45032","Clwyd-Powys","Upland Wales and the Marches","Ogof-Yr-Esgyrn, Dan-Yr-Ogof Caves, Brecknock","Excavation","Mendip Exploration Society; National Museum of Wales","283780","216040","Rural settlement|Religious ritual and funerary","cave|funerary site","","","","CPAT80119","","",""
"45033","Clwyd-Powys","Upland Wales and the Marches","Brynhyfryd Park, Ruthin, Clwyd","Excavation","Clwyd-Powys Archaeological Trust","313000","358200","Military|Nucleated settlement|Religious ritual and funerary","other military|vicus|funerary site","","","","CPAT106027|CPAT17805","","",""
"46031","Gwynedd","Upland Wales and the Marches","Capel Eithin, Gaerwen","Excavation","Gwynedd Archaeological Trust","248900","372700","Religious ritual and funerary","shrine|other metal production","","","","GAT2730","","",""
"46039","Gwynedd","Upland Wales and the Marches","Tomen-y-Mur","Field survey","C A Gresham","270753","338526","Military|Nucleated settlement|Religious ritual and funerary","fort|vicus|funerary site|road","","","","","","",""
